,city,lat,lng,country,population
2463,Station des Essais M.V.A.,34.9352,-2.4306,Morocco,20513.0
2464,Aïn Cheggag,33.8833,-5.0333,Morocco,20456.0
2465,Alatsinainy-Bakaro,-19.3167,47.6833,Madagascar,20370.0
2466,Fara,11.5333,-2.7667,Burkina Faso,20434.0
2467,Beforona,-18.9667,48.5833,Madagascar,20380.0
2468,Nguékhokh,14.5128,-17.05,Senegal,20053.0
2469,Reggane,26.7,0.1667,Algeria,20402.0
2470,Kissa,7.0333,1.7833,Benin,20016.0
2471,Mandrosohasina,-19.5833,47.1667,Madagascar,20000.0
2472,Dan Gorayo,8.7278,49.3417,Somalia,20331.0
2473,Jdour,32.1269,-8.7633,Morocco,20239.0
2474,Bamumkumbit,5.8167,10.4167,Cameroon,20000.0
2475,Sbeitla,35.2297,9.1294,Tunisia,20253.0
2476,Pujehun,7.3506,-11.7181,Sierra Leone,20121.0
2477,Tsararafa,-22.7333,47.8167,Madagascar,20000.0
2478,Boromo,11.75,-2.9333,Burkina Faso,20193.0
2479,Bichena,10.45,38.2,Ethiopia,19916.0
2480,Ampefy,-19.0419,46.7328,Madagascar,19949.0
2481,Bekatra Maromiandra,-22.1,47.7167,Madagascar,20000.0
2482,Imouzzer Kandar,33.73,-5.01,Morocco,19125.0
2483,Antsampandrano,-19.5333,47.5833,Madagascar,20000.0
2484,Baragoi,1.7833,36.7833,Kenya,20000.0
2485,Manaratsandry,-16.1833,46.5,Madagascar,20000.0
2486,Sesheke,-17.4667,24.3,Zambia,20149.0
2487,Mahaditra,-21.75,47.1,Madagascar,20068.0
2488,’Ali Ben Sliman,31.91,-7.21,Morocco,19977.0
2489,Nkoteng,4.5167,12.0333,Cameroon,20100.0
2490,Ambatosoratra,-17.6167,48.5167,Madagascar,20000.0
2491,El Mansouria,33.75,-7.3,Morocco,19853.0
2492,Issaba,7.0833,2.6167,Benin,19732.0
2493,Vasiana,-19.6333,46.2333,Madagascar,19992.0
2494,Mandiavato,-19.0833,47.0167,Madagascar,20000.0
2495,Kébémer,15.3667,-16.4333,Senegal,20000.0
2496,Tsarabaria,-13.75,49.95,Madagascar,20000.0
2497,Nejo,9.5,35.5,Ethiopia,19887.0
2498,Soavina Antanety,-19.8,46.7333,Madagascar,20000.0
2499,Tarhzirt,32.4333,-6.1833,Morocco,19936.0
2500,Rantabe,-15.7,49.65,Madagascar,20000.0
2501,Ambalakirajy,-15.8333,48.5,Madagascar,20000.0
2502,Analapatsy,-24.25,47.2,Madagascar,20000.0
2503,Ampasimena,-24.3667,47.1667,Madagascar,20000.0
2504,Haya,18.3461,36.3969,Sudan,20000.0
2505,Zemio,5.0333,25.1333,Central African Republic,20000.0
2506,Gebre Guracha,9.8,38.4,Ethiopia,19830.0
2507,Had Zraqtane,31.45,-7.4,Morocco,19926.0
2508,Aït Tamlil,31.48,-6.94,Morocco,19930.0
2509,Doany,-14.3667,49.5167,Madagascar,19928.0
2510,Allanridge,-27.7544,26.6367,South Africa,19337.0
2511,Mapai,-22.7306,32.0583,Mozambique,19932.0
2512,Nosy Varika,-20.5833,48.5333,Madagascar,19787.0
2513,Zaouïa Aït Ishak,32.76,-5.7233,Morocco,19133.0
2514,Mosopa,-24.7792,25.4183,Botswana,19780.0
2515,Jnane Bouih,32.0308,-8.7894,Morocco,19706.0
2516,Āsasa,7.1,39.1944,Ethiopia,19506.0
2517,Arbaoun,36.4667,5.65,Algeria,19383.0
2518,Menzel Abderhaman,37.23,9.86,Tunisia,19078.0
2519,Andaingo Gara,-18.2,48.2833,Madagascar,19656.0
2520,Babanūsah,11.3333,27.8,Sudan,19700.0
2521,Rhar el Melah,37.1667,10.1833,Tunisia,19477.0
2522,Oulad Salmane,34.3356,-6.4604,Morocco,19488.0
2523,Tirmitine,36.6618,3.9848,Algeria,19027.0
2524,Ait Bousarane,31.7917,-7.0926,Morocco,19501.0
2525,Diinsoor,2.4106,42.9767,Somalia,19600.0
2526,Aysha,10.75,42.5667,Ethiopia,19570.0
2527,Thamaga,-24.7167,25.5333,Botswana,19547.0
2528,Gogogogo,-24.2667,44.8,Madagascar,19454.0
2529,Douar Ait Sidi Daoud,31.6345,-7.644,Morocco,19286.0
2530,Tajerouine,35.8833,8.55,Tunisia,19362.0
2531,Ambatomirahavavy,-18.9333,47.3833,Madagascar,19163.0
2532,Sebt Gzoula,32.1167,-9.0833,Morocco,18543.0
2533,Ābomsa,8.5833,39.85,Ethiopia,19208.0
2534,Bouanri,10.2,2.8667,Benin,19281.0
2535,Sidi Redouane,34.6833,-5.45,Morocco,19169.0
2536,Qandala,11.4711,49.8739,Somalia,19300.0
2537,Vohimasy,-22.1,47.7833,Madagascar,19000.0
2538,Tsumeb,-19.25,17.7,Namibia,19275.0
2539,Ampataka,-23.35,47.4667,Madagascar,19000.0
2540,Amboanana,-19.15,47.1667,Madagascar,19217.0
2541,Karia Ba Mohamed,34.3667,-5.2,Morocco,18762.0
2542,Ait Ben Daoudi,31.6345,-7.644,Morocco,18976.0
2543,Ifanirea,-22.1833,47.4667,Madagascar,19000.0
2544,Ranomena,-23.4167,47.2667,Madagascar,19000.0
2545,Ambodinonoka,-20.9833,47.8833,Madagascar,19000.0
2546,Mumbwa,-14.9853,27.0619,Zambia,19086.0
2547,Bezaha,-23.5,44.5,Madagascar,19000.0
2548,Mahazoarivo,-22.3167,47.5833,Madagascar,19000.0
2549,Anjahabe,-16.3667,46.6167,Madagascar,19000.0
2550,Miarinavaratra,-20.2167,47.5167,Madagascar,19000.0
2551,Ambalanirana,-18.75,46.5,Madagascar,19000.0
2552,Tanambe,-17.3667,48.45,Madagascar,19000.0
2553,Manantenina,-24.2833,47.3167,Madagascar,19000.0
2554,Belamoty,-23.55,44.8,Madagascar,19000.0
2555,Bukungu,1.4361,32.8686,Uganda,19033.0
2556,Pitseng,-29.0097,28.2575,Lesotho,18948.0
2557,Ambatomena,-19.85,47.25,Madagascar,19000.0
2558,Peduasi,5.85,-0.1833,Ghana,18701.0
2559,Aburi,5.85,-0.1833,Ghana,18701.0
2560,Ambatosia,-14.6667,48.65,Madagascar,19000.0
2561,Befandriana Atsimo,-22.1,43.8833,Madagascar,19000.0
2562,Mitsinjo,-16.0,45.8667,Madagascar,19000.0
2563,Beni Zouli,30.4839,-5.8619,Morocco,18941.0
2564,Korsimoro,12.825,-1.0672,Burkina Faso,18875.0
2565,Fihaonana,-18.6,47.2,Madagascar,18846.0
2566,Massaguet,12.4742,15.4428,Chad,18872.0
2567,Kabala,9.5833,-11.55,Sierra Leone,18770.0
2568,Togba,7.1,1.6667,Benin,18674.0
2569,Nefas Mewch’a,11.7333,38.4667,Ethiopia,18691.0
2570,Oulmes,33.445,-6.0011,Morocco,18786.0
2571,Antotohazo,-18.4667,47.0833,Madagascar,18774.0
2572,Mennzel Bou Zelfa,36.6817,10.5847,Tunisia,18551.0
2573,Middelburg,-31.4939,25.0172,South Africa,18164.0
2574,Bni Bouayach,35.0986,-3.8397,Morocco,18271.0
2575,Jbabra,34.4314,-4.9642,Morocco,18592.0
2576,Murambi,-1.8133,30.0456,Rwanda,17892.0
2577,Abong Mbang,3.9833,13.1667,Cameroon,18700.0
2578,Tsivory,-24.0683,46.0756,Madagascar,18694.0
2579,Sidi Allal Tazi,34.5197,-6.3236,Morocco,18055.0
2580,Qaryat al Qī‘ān,32.0167,11.5,Libya,18693.0
2581,Andéranboukan,15.4283,3.0183,Mali,18688.0
2582,Doura,12.0167,-9.0167,Guinea,18675.0
2583,Mumford,5.2625,-0.7578,Ghana,18368.0
2584,Antombana,-15.0,50.1667,Madagascar,18592.0
2585,Tamri,30.695,-9.825,Morocco,18577.0
2586,Tata,29.7428,-7.9725,Morocco,18611.0
2587,Saylac,11.3539,43.4731,Somalia,18600.0
2588,Timoktene,27.0217,1.015,Algeria,18598.0
2589,Bel Air,-20.2582,57.7545,Mauritius,17605.0
2590,Chouafaa,34.7667,-6.05,Morocco,18436.0
2591,Bitkine,11.9817,18.2125,Chad,18495.0
2592,Foum el Anser,32.3718,-6.2613,Morocco,18412.0
2593,Nara,15.18,-7.28,Mali,18459.0
2594,Lamrasla,32.0247,-8.9153,Morocco,18335.0
2595,Bettioua,35.8,-0.2667,Algeria,18215.0
2596,Aït Bouchta,35.1056,-3.8503,Morocco,18271.0
2597,Assa,28.6086,-9.4269,Morocco,18367.0
2598,Talata-Volonondry,-18.75,47.65,Madagascar,18314.0
2599,Galaat el Andeless,37.0625,10.1183,Tunisia,18225.0
2600,Siloe,-29.9836,27.2792,Lesotho,18261.0
2601,Bekalta,35.6167,11.0,Tunisia,17850.0
2602,Kikube,1.3328,31.2075,Uganda,18100.0
2603,Ribat Al Khayr,33.82,-4.41,Morocco,16739.0
2604,Antanambao,-15.1667,50.3667,Madagascar,18232.0
2605,Bouarouss,34.3667,-4.8167,Morocco,18147.0
