,city,lat,lng,country,population,cluster
166,Toamasina,-18.15,49.4167,Madagascar,225116.0,166
167,Port Harcourt,4.8242,7.0336,Nigeria,1865000.0,167
168,Bangui,4.3733,18.5628,Central African Republic,889231.0,168
169,Kafia Kingi,9.2731,24.4174,South Sudan,16000.0,169
170,Mbale,1.0806,34.175,Uganda,586300.0,170
171,Asmara,15.3228,38.925,Eritrea,963000.0,171
172,Bujumbura,-3.3833,29.3667,Burundi,1075000.0,172
173,Sidi Bouzid,35.0381,9.4858,Tunisia,429912.0,173
174,Agadez,16.9959,7.9828,Niger,117770.0,174
175,Jīma,7.6667,36.8333,Ethiopia,177900.0,175
176,Toliara,-23.35,43.6667,Madagascar,168756.0,176
177,Fès,34.0433,-5.0033,Morocco,1112072.0,177
178,Yao,12.8508,17.5608,Chad,91507.0,178
179,Faya,17.9169,19.1167,Chad,48090.0,179
180,Djelfa,34.6667,3.25,Algeria,265833.0,180
181,Hargeysa,9.5631,44.0675,Somalia,1200000.0,181
182,Newcastle,-27.7464,29.9328,South Africa,363236.0,182
183,Accra,5.55,-0.2,Ghana,2388000.0,183
184,Parakou,9.35,2.6167,Benin,206667.0,184
185,Alexandria,31.1975,29.8925,Egypt,4870000.0,185
186,Mindelo,16.886,-24.988,Cabo Verde,70468.0,186
187,Pouytenga,12.25,-0.4333,Burkina Faso,99950.0,187
188,Mbeya,-8.9,33.45,Tanzania,467000.0,188
189,Khénifra,32.9394,-5.6675,Morocco,228567.0,189
190,Douala,4.05,9.7,Cameroon,5768400.0,190
191,Ihosy,-22.4036,46.1258,Madagascar,283047.0,191
192,Desē,11.1333,39.6333,Ethiopia,187900.0,192
193,Lusaka,-15.4167,28.2833,Zambia,2467563.0,193
194,Niamey,13.515,2.1175,Niger,1026848.0,194
195,Praia,14.918,-23.509,Cabo Verde,127832.0,195
196,Bibā,28.9218,30.9844,Egypt,385528.0,196
197,Mongu,-15.2775,23.1319,Zambia,179585.0,197
198,Nampula,-15.1167,39.2667,Mozambique,743000.0,198
199,Antsiranana,-12.3,49.2833,Madagascar,129320.0,199
